number,value,datetime_start,datetime_complete,duration,params_Q10,params_SPAN,params_TDWI,params_TSUM1,params_TSUM2,state
1299,75.96029177924399,2024-03-04 11:47:28.130636,2024-03-04 11:47:28.187011,0 days 00:00:00.056375,2.188653906489496,29.011312543562035,0.5690189602808926,526.3344175686841,1452.3921883766368,COMPLETE
1300,2381.590008420845,2024-03-04 11:47:28.400956,2024-03-04 11:47:28.468077,0 days 00:00:00.067121,1.9787191008341127,30.35875564817306,0.5638395630385009,749.50654095908,1339.8159193181582,COMPLETE
1301,249.54723644643192,2024-03-04 11:47:28.703957,2024-03-04 11:47:28.764891,0 days 00:00:00.060934,1.96833665511474,31.941626911577604,0.5900650428872465,536.9598424451603,1431.2887765222317,COMPLETE
1302,2986.501387146415,2024-03-04 11:47:28.969523,2024-03-04 11:47:29.033498,0 days 00:00:00.063975,2.1012162810029795,32.48876031565573,0.5432219369370936,765.6676548375451,1557.602281827899,COMPLETE
1303,147.38063885504508,2024-03-04 11:47:29.239350,2024-03-04 11:47:29.299526,0 days 00:00:00.060176,2.1507515974088975,33.135774188592386,0.46447716209636974,531.6186639427663,1353.487037173129,COMPLETE
1304,367.69281217785607,2024-03-04 11:47:29.517630,2024-03-04 11:47:29.580609,0 days 00:00:00.062979,2.078322254508496,34.94880042642516,0.5810315176545595,522.4393481429128,1542.0153859954696,COMPLETE
1305,2070.8032463858576,2024-03-04 11:47:29.769718,2024-03-04 11:47:29.821342,0 days 00:00:00.051624,1.9922979986414346,31.020274605164257,0.40545718998501107,760.8862428842804,1296.1385674453425,COMPLETE
1306,73.90624902736867,2024-03-04 11:47:30.003648,2024-03-04 11:47:30.056277,0 days 00:00:00.052629,2.1096864358786296,32.24235634278505,0.5248018287117945,546.1811911960828,1314.364622484485,COMPLETE
1307,2019.5367067632433,2024-03-04 11:47:30.264196,2024-03-04 11:47:30.317833,0 days 00:00:00.053637,2.0403265989189228,33.43235991398599,0.49878871219371673,676.9354005753761,1553.0018105342224,COMPLETE
1308,314.5659532441364,2024-03-04 11:47:30.515501,2024-03-04 11:47:30.568659,0 days 00:00:00.053158,2.1748481103014985,34.08314591752909,0.5960069904572808,537.7583227594532,1398.1855743245912,COMPLETE
